Bildergruppe,1,2,3,4,5,6,7,8,9,Auswahl
H18_recolor.BMP,0.6,1.0,1.37,1.74,2.1,2.46,2.8,3.15,3.48,1.37
H21_recolor.BMP,0.6,1.0,1.48,1.97,2.49,3.02,3.57,4.14,4.73,3.57
H27_recolor.BMP,0.6,1.0,1.63,2.33,3.08,3.89,4.76,5.69,6.67,4.76
H1_recolor.BMP,0.6,1.0,1.43,1.87,2.32,2.78,3.24,3.71,4.2,2.78
H0_recolor.BMP,0.6,1.0,1.42,1.84,2.27,2.7,3.14,3.58,4.03,0.6
I23_recolor.BMP,0.6,0.68,0.76,0.84,0.92,1.0,1.08,1.15,1.22,0.6
I20_recolor.BMP,0.6,1.0,1.31,1.61,1.88,2.13,2.36,2.56,2.75,2.56
H17_recolor.BMP,0.6,1.0,1.4,1.8,2.19,2.59,2.98,3.38,3.77,3.77
I21_recolor.BMP,0.6,1.0,1.28,1.54,1.77,1.96,2.13,2.27,2.38,1.96
H11_recolor.BMP,0.6,1.0,1.28,1.52,1.73,1.92,2.07,2.19,2.28,1.28
H29_recolor.BMP,0.6,1.0,1.36,1.72,2.06,2.39,2.72,3.03,3.34,2.39
H2_recolor.BMP,0.6,1.0,1.3,1.58,1.83,2.06,2.27,2.45,2.6,1.0
I12_recolor.BMP,0.6,1.0,1.42,1.84,2.26,2.69,3.12,3.55,3.99,3.99
H3_recolor.BMP,0.6,1.0,1.53,2.09,2.68,3.3,3.95,4.64,5.36,2.68
H8_recolor.BMP,0.6,1.0,1.38,1.75,2.11,2.47,2.82,3.16,3.5,2.11
H14_recolor.BMP,0.6,1.0,1.37,1.73,2.09,2.44,2.78,3.12,3.44,1.37
H16_recolor.BMP,0.6,1.0,1.45,1.92,2.4,2.9,3.41,3.93,4.47,3.93
I10_recolor.BMP,0.6,1.0,1.49,2.01,2.55,3.12,3.71,4.32,4.96,4.32
I13_recolor.BMP,0.6,1.0,1.34,1.67,1.98,2.28,2.56,2.83,3.09,2.83
H4_recolor.BMP,0.6,1.0,1.45,1.91,2.39,2.87,3.37,3.89,4.41,3.37
H13_recolor.BMP,0.6,1.0,1.37,1.73,2.09,2.44,2.78,3.11,3.44,3.44
I08_recolor.BMP,0.6,1.0,1.51,2.05,2.62,3.21,3.83,4.48,5.16,1.51
I07_recolor.BMP,0.6,0.8,1.0,1.2,1.39,1.58,1.78,1.97,2.16,1.78
I16_recolor.BMP,0.6,1.0,1.29,1.55,1.78,1.99,2.17,2.32,2.44,1.55
H23_recolor.BMP,0.6,1.0,1.31,1.59,1.85,2.08,2.29,2.48,2.64,1.31
I22_recolor.BMP,0.6,1.0,1.32,1.62,1.89,2.15,2.39,2.6,2.8,2.39
